;;    WFIRST contrast for HLC instrument, from WFIRST CGI Public Simulations Aug. 4, 2016
;;
;;                                jitter (mas)
;;                 0.0          0.4          0.8          1.6
;;    lambda/D  contrast     contrast     contrast     contrast
     0.300000  6.24440e-06  6.64370e-06  7.47056e-06  1.08231e-05
     0.600000  1.70725e-06  2.31458e-06  3.57080e-06  8.61583e-06
     0.900000  3.43354e-07  7.67576e-07  1.64733e-06  5.20598e-06
      1.20000  3.12418e-08  1.03421e-07  2.53964e-07  8.73558e-07
      1.50000  3.68232e-08  4.75456e-08  7.04051e-08  1.70740e-07
      1.80000  3.52606e-08  3.71880e-08  4.13811e-08  6.07390e-08
      2.10000  2.04709e-08  2.43167e-08  3.23753e-08  6.58480e-08
      2.40000  4.93728e-09  7.96877e-09  1.43718e-08  4.16075e-08
      2.70000  1.10348e-09  2.41228e-09  5.22596e-09  1.77978e-08
      3.00000  6.79560e-10  1.06818e-09  1.92363e-09  5.98460e-09
      3.30000  6.05014e-10  7.26525e-10  9.95643e-10  2.28876e-09
      3.60000  5.38794e-10  6.57086e-10  9.07353e-10  1.97299e-09
      3.90000  3.74429e-10  5.55340e-10  9.47402e-10  2.73097e-09
      4.20000  2.55591e-10  4.35577e-10  8.39037e-10  2.83342e-09
      4.50000  2.31314e-10  3.45876e-10  6.08433e-10  1.97431e-09
      4.80000  2.75733e-10  3.38384e-10  4.78028e-10  1.16216e-09
      5.10000  3.21880e-10  3.85262e-10  5.19063e-10  1.08732e-09
      5.40000  2.96241e-10  3.90668e-10  5.97374e-10  1.56015e-09
      5.70000  2.62192e-10  3.60051e-10  5.83132e-10  1.72402e-09
      6.00000  2.39898e-10  3.19089e-10  5.01218e-10  1.45191e-09
      6.30000  2.49198e-10  3.22406e-10  4.81973e-10  1.21935e-09
      6.60000  2.57337e-10  3.55061e-10  5.58849e-10  1.39371e-09
      6.90000  2.43978e-10  3.52835e-10  5.83236e-10  1.56686e-09
      7.20000  2.15532e-10  3.09821e-10  5.15299e-10  1.46171e-09
      7.50000  1.90038e-10  2.47083e-10  3.74394e-10  9.96067e-10
      7.80000  1.86610e-10  2.39322e-10  3.52192e-10  8.50730e-10
      8.10000  1.92386e-10  2.68475e-10  4.26490e-10  1.06696e-09
      8.40000  2.09598e-10  2.92229e-10  4.64754e-10  1.17353e-09
      8.70000  2.16404e-10  2.77273e-10  4.06742e-10  9.67009e-10
      9.00000  2.06814e-10  2.48260e-10  3.37347e-10  7.33662e-10
      9.30000  2.12182e-10  2.63110e-10  3.70049e-10  8.17542e-10
      9.60000  2.44341e-10  3.13504e-10  4.56980e-10  1.03678e-09
      9.90000  3.08244e-10  3.76294e-10  5.17339e-10  1.08608e-09
      10.2000  5.09750e-10  5.57353e-10  6.56396e-10  1.05968e-09
      10.5000  4.18372e-10  4.34489e-10  4.62099e-10  5.82975e-10
      10.8000  2.20298e-12  2.61313e-12  1.49252e-12  2.56431e-12
      11.1000  8.11069e-11  7.50272e-14  1.06987e-11  1.19321e-10
