; WFIRST HLC wavelength-dependent throughput
;    from Traub et al. (2016) Figure 5
       lam/D      diffuse       point
      2.90000    0.0402555   0.00138622
      3.37895     0.104744    0.0105416
      3.85789     0.150398    0.0156870
      4.33684     0.167990    0.0174602
      4.81579     0.178753    0.0188043
      5.29474     0.191711    0.0200020
      5.77368     0.202473    0.0203639
      6.25263     0.202549    0.0206660
      6.73158     0.202521    0.0206846
      7.21053     0.201498    0.0206165
      7.68947     0.200476    0.0205484
      8.16842     0.199453    0.0204803
      8.64737     0.198431    0.0204359
      9.12632     0.197408    0.0204197
      9.60526     0.196826    0.0204035
      10.0842     0.197153    0.0203872
      10.5632     0.197480    0.0203710
      11.0421     0.197807    0.0203548
      11.5211     0.198134    0.0203386
      12.0000     0.198461    0.0203223
