;;    WFIRST contrast for SPC instrument, from WFIRST CGI Public Simulations Aug. 4, 2016
;;
;;                                jitter (mas)
;;                 0.0          0.4          0.8          1.6
;;    lambda/D  contrast     contrast     contrast     contrast
      2.60000  6.71322e-09  6.77426e-09  6.90449e-09  7.53589e-09
      2.80000  3.98744e-09  4.04498e-09  4.16772e-09  4.76242e-09
      3.00000  2.60175e-09  2.65817e-09  2.77834e-09  3.35773e-09
      3.20000  1.67400e-09  1.72553e-09  1.83501e-09  2.35879e-09
      3.40000  1.58778e-09  1.67242e-09  1.85135e-09  2.69336e-09
      3.60000  1.04005e-09  1.10381e-09  1.23825e-09  1.86562e-09
      3.80000  9.57057e-10  1.02881e-09  1.17960e-09  1.87524e-09
      4.00000  8.32977e-10  9.02601e-10  1.04851e-09  1.71517e-09
      4.20000  6.89028e-10  7.44631e-10  8.60954e-10  1.38924e-09
      4.40000  5.65517e-10  6.02754e-10  6.80524e-10  1.03170e-09
      4.60000  6.11099e-10  6.41842e-10  7.06047e-10  9.95972e-10
      4.80000  7.79901e-10  8.18526e-10  8.99192e-10  1.26344e-09
      5.00000  9.85275e-10  1.02806e-09  1.11750e-09  1.52256e-09
      5.20000  1.23048e-09  1.30402e-09  1.45755e-09  2.14982e-09
      5.40000  1.14704e-09  1.20470e-09  1.32510e-09  1.86824e-09
      5.60000  1.16261e-09  1.22648e-09  1.35972e-09  1.95915e-09
      5.80000  1.18970e-09  1.24169e-09  1.35017e-09  1.83833e-09
      6.00000  1.30052e-09  1.35120e-09  1.45690e-09  1.93204e-09
      6.20000  1.47691e-09  1.52570e-09  1.62742e-09  2.08401e-09
      6.40000  1.31727e-09  1.34922e-09  1.41586e-09  1.71568e-09
      6.60000  1.29732e-09  1.32902e-09  1.39516e-09  1.69282e-09
      6.80000  1.25951e-09  1.28937e-09  1.35172e-09  1.63313e-09
      7.00000  1.38815e-09  1.42150e-09  1.49113e-09  1.80515e-09
      7.20000  1.56711e-09  1.60415e-09  1.68154e-09  2.03165e-09
      7.40000  1.63232e-09  1.67447e-09  1.76257e-09  2.16129e-09
      7.60000  1.51293e-09  1.55553e-09  1.64458e-09  2.04823e-09
      7.80000  1.40125e-09  1.46415e-09  1.59557e-09  2.18990e-09
      8.00000  1.30645e-09  1.36643e-09  1.49172e-09  2.05776e-09
      8.20000  1.52092e-09  1.57179e-09  1.67811e-09  2.15950e-09
      8.40000  2.31247e-09  2.35752e-09  2.45176e-09  2.87968e-09
      8.60000  4.31429e-09  4.37588e-09  4.50465e-09  5.08818e-09
      8.80000  7.88316e-09  7.96215e-09  8.12720e-09  8.87367e-09
      9.00000  1.34236e-08  1.35163e-08  1.37100e-08  1.45864e-08
