; WFIRST SPC wavelength-dependent throughput
;    from Traub et al. (2016) Figure 5
       lam/D      diffuse       point
      2.90000    0.0957190    0.0134633
      3.32632     0.153788    0.0207839
      3.75263     0.198027    0.0272946
      4.17895     0.229412    0.0318046
      4.60526     0.249999    0.0343650
      5.03158     0.257615    0.0355254
      5.45790     0.261303    0.0360697
      5.88421     0.263431    0.0363614
      6.31053     0.262735    0.0363738
      6.73684     0.260843    0.0361840
      7.16316     0.261379    0.0359182
      7.58947     0.263327    0.0360685
      8.01579     0.265954    0.0364058
      8.44211     0.269414    0.0369382
      8.86842     0.270830    0.0374770
      9.29474     0.263523    0.0355561
      9.72105     0.242247    0.0329723
      10.1474     0.199580    0.0275368
      10.5737     0.155465    0.0208952
      11.0000     0.112874    0.0137422
